AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_landbasedwind_class3_moderate_2,AZ_landbasedwind_class3_moderate_3,AZ_utilitypv_class1_moderate_1,AZ_utilitypv_class1_moderate_2,AZ_utilitypv_class1_moderate_3,CA_landbasedwind_class3_moderate_1,CA_landbasedwind_class3_moderate_2,CA_landbasedwind_class3_moderate_3,CA_utilitypv_class1_moderate_1,CA_utilitypv_class1_moderate_2,CA_utilitypv_class1_moderate_3,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class3_moderate_fixed_0_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_landbasedwind_class3_moderate_2,CO_landbasedwind_class3_moderate_3,CO_utilitypv_class1_moderate_1,CO_utilitypv_class1_moderate_2,CO_utilitypv_class1_moderate_3,ID_landbasedwind_class3_moderate_1,ID_landbasedwind_class3_moderate_2,ID_landbasedwind_class3_moderate_3,ID_utilitypv_class1_moderate_1,ID_utilitypv_class1_moderate_2,ID_utilitypv_class1_moderate_3,MT_landbasedwind_class3_moderate_1,MT_landbasedwind_class3_moderate_2,MT_landbasedwind_class3_moderate_3,MT_utilitypv_class1_moderate_1,MT_utilitypv_class1_moderate_2,MT_utilitypv_class1_moderate_3,NM_landbasedwind_class3_moderate_1,NM_landbasedwind_class3_moderate_2,NM_landbasedwind_class3_moderate_3,NM_utilitypv_class1_moderate_1,NM_utilitypv_class1_moderate_2,NM_utilitypv_class1_moderate_3,NV_landbasedwind_class3_moderate_1,NV_landbasedwind_class3_moderate_2,NV_landbasedwind_class3_moderate_3,NV_utilitypv_class1_moderate_1,NV_utilitypv_class1_moderate_2,NV_utilitypv_class1_moderate_3,OR_landbasedwind_class3_moderate_1,OR_landbasedwind_class3_moderate_2,OR_landbasedwind_class3_moderate_3,OR_utilitypv_class1_moderate_1,OR_utilitypv_class1_moderate_2,OR_utilitypv_class1_moderate_3,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class3_moderate_fixed_0_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_landbasedwind_class3_moderate_2,UT_landbasedwind_class3_moderate_3,UT_utilitypv_class1_moderate_1,UT_utilitypv_class1_moderate_2,UT_utilitypv_class1_moderate_3,WA_landbasedwind_class3_moderate_1,WA_landbasedwind_class3_moderate_2,WA_landbasedwind_class3_moderate_3,WA_utilitypv_class1_moderate_1,WA_utilitypv_class1_moderate_2,WA_utilitypv_class1_moderate_3,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class3_moderate_fixed_0_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_landbasedwind_class3_moderate_2,WY_landbasedwind_class3_moderate_3,WY_utilitypv_class1_moderate_1,WY_utilitypv_class1_moderate_2,WY_utilitypv_class1_moderate_3
0.7864639175257733,0.0,0.9057306682941716,0.0,0.5226972272259959,0.0,0.614794919512422,0.0,0.7170422891566266,0.0,0.3360103272473746,0.0,0.027,0.0,0.9102852872466025,0.0,0.017024214322514164,0.0,0.6811588815400968,0.0,0.7750905920998769,0.0,0.6971825361251831,0.5470435619354248,0.4988064169883728,0.0,0.0,0.0,0.6307646036148071,0.6239331364631653,0.6140848398208618,0.0,0.0,0.0,0.7258880734443665,0.7258880734443665,0.7258880734443665,0.6810524463653564,0.5026093125343323,0.3278258442878723,0.0,0.0,0.0,0.720835268497467,0.6578806042671204,0.597006618976593,0.0,0.0,0.0,0.8915221095085144,0.8422418832778931,0.6565464735031128,0.0,0.0,0.0,0.344492107629776,0.4031182825565338,0.42360201478004456,0.0,0.0,0.0,0.7534170746803284,0.6481636166572571,0.5483916997909546,0.0,0.0,0.0,0.7669252157211304,0.6286419034004211,0.5414632558822632,0.0,0.0,0.0,0.9420565962791443,0.9420565962791443,0.9420565962791443,0.572605311870575,0.43663865327835083,0.38177087903022766,0.0,0.0,0.0,0.8604257702827454,0.8597675561904907,0.7149877548217773,0.0,0.0,0.0,0.9754431843757629,0.9754431843757629,0.9754431843757629,0.9083977341651917,0.861436128616333,0.7393271327018738,0.0,0.0,0.0
0.7870527245949926,0.0,0.9043703997558743,0.0,0.5124574800696782,0.0,0.6822248999720851,0.0,0.7582124096385543,0.0,0.24745518323238488,0.0,0.003,0.0,0.8448570926172473,0.0,0.06028593508500772,0.0,0.6020672906578483,0.0,0.7419185914333752,0.0,0.670470654964447,0.5541133880615234,0.499411940574646,0.0,0.0,0.0,0.5649425983428955,0.5721340775489807,0.5293909907341003,0.0,0.0,0.0,0.713871955871582,0.713871955871582,0.713871955871582,0.6887831687927246,0.5754103064537048,0.31364870071411133,0.0,0.0,0.0,0.7031458616256714,0.5865412354469299,0.4912479817867279,0.0,0.0,0.0,0.8742595314979553,0.8280369639396667,0.6278902888298035,0.0,0.0,0.0,0.33259841799736023,0.4460468590259552,0.3949524462223053,0.0,0.0,0.0,0.6934160590171814,0.6117625832557678,0.5380622744560242,0.0,0.0,0.0,0.7344914674758911,0.5526741743087769,0.4581846296787262,0.0,0.0,0.0,0.9369328618049622,0.9369328618049622,0.9369328618049622,0.5283378958702087,0.4002991318702698,0.36832520365715027,0.0,0.0,0.0,0.8330971002578735,0.7831445336341858,0.6276467442512512,0.0,0.0,0.0,0.9768525958061218,0.9768525958061218,0.9768525958061218,0.9070433378219604,0.8739076256752014,0.6963568925857544,0.0,0.0,0.0
0.6376825724104075,0.0,0.888885505035093,0.0,0.5858588660800523,0.0,0.7541066344096026,0.0,0.7326254819277109,0.0,0.1779922872456316,0.0,0.0,0.0,0.8551980707880128,0.0,0.5288562596599692,0.0,0.5774034782095194,0.0,0.6896831080385529,0.0,0.6506296396255493,0.5320313572883606,0.47665613889694214,0.0,0.0,0.0,0.5069389939308167,0.5240457057952881,0.4709826111793518,0.0,0.0,0.0,0.6969987154006958,0.6969987154006958,0.6969987154006958,0.7098193168640137,0.5502580404281616,0.2787603437900543,0.0,0.0,0.0,0.6694128513336182,0.515276312828064,0.42119625210762024,0.0,0.0,0.0,0.8553858995437622,0.8080978989601135,0.6060829162597656,0.0,0.0,0.0,0.3310660123825073,0.47986313700675964,0.4016108214855194,0.0,0.0,0.0,0.6499836444854736,0.5758400559425354,0.49278467893600464,0.0,0.0,0.0,0.6774727702140808,0.4722994863986969,0.3898831605911255,0.0,0.0,0.0,0.9277821183204651,0.9277821183204651,0.9277821183204651,0.4691746234893799,0.3857823312282562,0.34773504734039307,0.0,0.0,0.0,0.802901029586792,0.7509525418281555,0.5959778428077698,0.0,0.0,0.0,0.9714696407318115,0.9714696407318115,0.9714696407318115,0.9063060283660889,0.8831005096435547,0.6885511875152588,0.0,0.0,0.0
0.5399270495827198,0.0,0.8775437900518768,0.0,0.5961876536737579,0.0,0.7687309016469711,0.0,0.7873708433734941,0.0,0.14682966578064402,0.0,0.138,0.0,0.8548300886734155,0.0,0.8370548686244205,0.0,0.5096080961379473,0.0,0.6501755660024574,0.0,0.6078707575798035,0.49119138717651367,0.41675233840942383,0.0,0.0,0.0,0.46844375133514404,0.4626326262950897,0.41995465755462646,0.0,0.0,0.0,0.6778069734573364,0.6778069734573364,0.6778069734573364,0.7511629462242126,0.5551578998565674,0.2619275450706482,0.0,0.0,0.0,0.6228475570678711,0.43289119005203247,0.3552859127521515,0.0,0.0,0.0,0.8467523455619812,0.8064050078392029,0.5774340033531189,0.0,0.0,0.0,0.32461172342300415,0.43792739510536194,0.3888325095176697,0.0,0.0,0.0,0.629226803779602,0.5203664302825928,0.44409847259521484,0.0,0.0,0.0,0.6444576382637024,0.44030895829200745,0.34194186329841614,0.0,0.0,0.0,0.9175750017166138,0.9175750017166138,0.9175750017166138,0.433925598859787,0.34872403740882874,0.3073732852935791,0.0,0.0,0.0,0.7389828562736511,0.7048424482345581,0.5692926049232483,0.0,0.0,0.0,0.9649712443351746,0.9649712443351746,0.9649712443351746,0.909565269947052,0.8889632225036621,0.6980057954788208,0.0,0.0,0.0
0.4731340206185567,0.0,0.8651293256026854,0.0,0.6863806686402097,0.0,0.840319717130362,0.0,0.775979578313253,0.0,0.3077107063488605,0.0,0.0,0.0,0.8653597930116306,0.0,0.796648634724369,0.0,0.5563482343214835,0.0,0.6714613417276556,0.0,0.5740280151367188,0.44789907336235046,0.34793534874916077,0.0,0.0,0.0,0.43058064579963684,0.41791877150535583,0.3675857186317444,0.0,0.0,0.0,0.6542103886604309,0.6542103886604309,0.6542103886604309,0.7831714749336243,0.5293807983398438,0.25473523139953613,0.0,0.0,0.0,0.5867354273796082,0.3551173508167267,0.2928188443183899,0.0,0.0,0.0,0.8279558420181274,0.7894811034202576,0.5466114282608032,0.0,0.0,0.0,0.323036253452301,0.3945293426513672,0.3529168367385864,0.0,0.0,0.0,0.5884135365486145,0.4607636630535126,0.3524639308452606,0.0,0.0,0.0,0.6138027906417847,0.4223162829875946,0.33341774344444275,0.0,0.0,0.0,0.8967529535293579,0.8967529535293579,0.8967529535293579,0.4423806071281433,0.33100783824920654,0.27421513199806213,0.0,0.0,0.0,0.7119404077529907,0.7061677575111389,0.5333942174911499,0.0,0.0,0.0,0.9592562317848206,0.9592562317848206,0.9592562317848206,0.925419807434082,0.8888040781021118,0.7112389802932739,0.0,0.0,0.0
0.5006905252822779,0.0,0.8283624046383888,0.0,0.6393277377089552,0.0,0.8520549920908161,0.0,0.7611434337349398,0.0,0.3321819251383502,0.0,0.015,0.0,0.8396642216584189,0.0,0.7699363730036065,0.0,0.5597660918861462,0.0,0.6459389298123014,0.0,0.5124899744987488,0.3803991675376892,0.2889268100261688,0.0,0.0,0.0,0.401423841714859,0.3581933379173279,0.31557697057724,0.0,0.0,0.0,0.6190189719200134,0.6190189719200134,0.6190189719200134,0.7780497670173645,0.4732973873615265,0.26268401741981506,0.0,0.0,0.0,0.5543034076690674,0.3176932632923126,0.22427532076835632,0.0,0.0,0.0,0.8251787424087524,0.7632661461830139,0.5067325830459595,0.0,0.0,0.0,0.3161974847316742,0.37047821283340454,0.29600590467453003,0.0,0.0,0.0,0.5282355546951294,0.37874266505241394,0.2730977535247803,0.0,0.0,0.0,0.6060285568237305,0.42031389474868774,0.2953201234340668,0.0,0.0,0.0,0.8775744438171387,0.8775744438171387,0.8775744438171387,0.4545750319957733,0.3143518269062042,0.28536391258239746,0.0,0.0,0.0,0.6693819165229797,0.6337935924530029,0.4895591735839844,0.0,0.0,0.0,0.9468080997467041,0.9468080997467041,0.9468080997467041,0.9163200855255127,0.873901903629303,0.6949324607849121,0.0,0.0,0.0
0.6016753068237604,0.0,0.8025987183399451,0.0,0.6447624676019001,0.0,0.8353092025681585,0.0,0.7505383734939759,0.0,0.34206096126192864,0.0,0.0,0.0,0.7776132532844332,0.0,0.735859608449253,0.0,0.5906127908350065,0.0,0.6915698139484784,0.0,0.4459590017795563,0.3051389157772064,0.2310411036014557,0.0,0.0,0.0,0.3420955538749695,0.30127111077308655,0.2509733736515045,0.0,0.0,0.0,0.57704097032547,0.57704097032547,0.57704097032547,0.7217251062393188,0.46899595856666565,0.27717941999435425,0.0,0.0004827642405871302,0.00033307322883047163,0.5168106555938721,0.28841254115104675,0.20127111673355103,0.0,0.0,0.0,0.8023470044136047,0.7432571649551392,0.47979429364204407,2.8088627459510462e-6,7.450379598594736e-6,1.6052315459091915e-6,0.3113119602203369,0.3463672995567322,0.2558627128601074,0.0,0.0,0.0,0.48214808106422424,0.3451286554336548,0.21428519487380981,0.0,0.0,0.0,0.5672688484191895,0.3694358766078949,0.2586494982242584,0.0,0.0,0.0,0.8549087643623352,0.8549087643623352,0.8549087643623352,0.4759705662727356,0.3502315580844879,0.2458501011133194,0.0,0.0,0.0,0.5957200527191162,0.554314136505127,0.4728512167930603,0.0,0.0,0.0,0.9193450212478638,0.9193450212478638,0.9193450212478638,0.9006427526473999,0.8667244911193848,0.6797481179237366,0.00017894992197398096,0.000537292507942766,0.0007203986751846969
0.5499953853706431,0.00848142675176771,0.7829315227342081,0.0,0.6426319234977984,0.17679842839484375,0.8410881176142179,0.032749999999999994,0.7464762048192771,0.17285875706214687,0.26519342890757763,0.09802082122796822,0.0,0.0020212373659525776,0.746653646160416,0.0037324840335228645,0.6883706852138074,0.04437826744222559,0.5449423940002363,0.0016178343949044588,0.6850113274649068,0.107,0.38043975830078125,0.2471557855606079,0.17283549904823303,0.0078117698431015015,0.013935426250100136,0.03024228848516941,0.32691624760627747,0.26141268014907837,0.20459124445915222,0.0,0.0,0.0,0.5470583438873291,0.5470583438873291,0.5470583438873291,0.6907249093055725,0.4631820321083069,0.2551470696926117,0.11905886977910995,0.109443299472332,0.09721631556749344,0.4988560378551483,0.2646438479423523,0.17963272333145142,0.011395865119993687,0.01660340651869774,0.022593241184949875,0.7941616177558899,0.7398355603218079,0.43450117111206055,0.1263994574546814,0.10502713918685913,0.09934565424919128,0.31991252303123474,0.324217289686203,0.2056356966495514,0.04202192276716232,0.06172036752104759,0.040882233530282974,0.45709100365638733,0.29318761825561523,0.16485029458999634,0.00585602130740881,0.012912465259432793,0.004849146585911512,0.5345138907432556,0.3476203680038452,0.25509172677993774,0.00020610347564797848,0.0018104686168953776,0.006622792221605778,0.8326810598373413,0.8326810598373413,0.8326810598373413,0.504353404045105,0.3499659299850464,0.23653298616409302,0.03339562565088272,0.04123736917972565,0.055313657969236374,0.5094239115715027,0.49681755900382996,0.45564648509025574,0.0050009069964289665,0.007500081788748503,0.01248514000326395,0.9145422577857971,0.9145422577857971,0.9145422577857971,0.9073649048805237,0.8693193793296814,0.6467801332473755,0.09559500217437744,0.11230428516864777,0.1210874393582344
0.49151546391752576,0.40384522664683015,0.732355324992371,0.11364342303247854,0.506639459558317,0.6126054653010772,0.7538776402717037,0.36824999999999997,0.7503728915662651,0.49152542372881347,0.24604736589829623,0.4148476983665827,0.038,0.3018270965553146,0.6911187671129646,0.1543745580849922,0.46095054095826904,0.3741626218353174,0.5132031416085983,0.13818710191082806,0.47091144230283827,0.4135,0.3349038064479828,0.20247791707515717,0.12685556709766388,0.3169732689857483,0.3605480492115021,0.3907420039176941,0.3011932373046875,0.22108590602874756,0.17604990303516388,0.09777558594942093,0.1468212604522705,0.1697123795747757,0.5160782337188721,0.5160782337188721,0.5160782337188721,0.5176466107368469,0.34628352522850037,0.20064572989940643,0.4722679555416107,0.4349291920661926,0.4618573784828186,0.46541130542755127,0.2482932060956955,0.17084547877311707,0.25431981682777405,0.2843709886074066,0.28834718465805054,0.7800512909889221,0.7156422138214111,0.38040977716445923,0.5116432309150696,0.44402235746383667,0.4760051965713501,0.30174610018730164,0.27990007400512695,0.14898021519184113,0.37923091650009155,0.4505409002304077,0.41532930731773376,0.4216127097606659,0.2520391345024109,0.1388513147830963,0.2789855897426605,0.2847301959991455,0.2383366823196411,0.47657421231269836,0.28494924306869507,0.2265356183052063,0.14792263507843018,0.1941279023885727,0.22854597866535187,0.8056991696357727,0.8056991696357727,0.8056991696357727,0.49179935455322266,0.3023742139339447,0.21416406333446503,0.3898923695087433,0.3584221601486206,0.42486077547073364,0.44554367661476135,0.41060367226600647,0.4090241491794586,0.18962836265563965,0.23226000368595123,0.27423521876335144,0.89140784740448,0.89140784740448,0.89140784740448,0.816313624382019,0.7113112807273865,0.5044223070144653,0.41281047463417053,0.40537944436073303,0.48201727867126465
0.2983228276877761,0.5364830415451733,0.6857159597192555,0.5112714030745479,0.24481289933063305,0.8144035625993291,0.7046378524239322,0.666425,0.755151265060241,0.6846129943502824,0.23662586605080832,0.648630834785977,0.0,0.5692196765332618,0.5890779471978699,0.5224669616057621,0.23199510561566206,0.5884094166202379,0.4097737982756585,0.5287218683651805,0.31055069892728693,0.5845,0.21490909159183502,0.11853946000337601,0.07052000612020493,0.7434657216072083,0.8222609758377075,0.787162184715271,0.25929832458496094,0.14264018833637238,0.08850830793380737,0.4969799220561981,0.566079318523407,0.5972214341163635,0.48473381996154785,0.48473381996154785,0.48473381996154785,0.23257477581501007,0.1501280814409256,0.1259024292230606,0.7089930772781372,0.6631329655647278,0.7835925817489624,0.3710886538028717,0.17433840036392212,0.11045274883508682,0.6098881959915161,0.674462080001831,0.6508601307868958,0.7565096020698547,0.7183979749679565,0.3762979209423065,0.8397873640060425,0.7458904385566711,0.8251574635505676,0.19503460824489594,0.18622145056724548,0.07709258049726486,0.738303005695343,0.8174533843994141,0.8195202350616455,0.32703182101249695,0.1711961328983307,0.09820306301116943,0.7000231742858887,0.6456328630447388,0.6362584233283997,0.36630210280418396,0.18420352041721344,0.14785456657409668,0.4995814561843872,0.5796751379966736,0.5970365405082703,0.7858400344848633,0.7858400344848633,0.7858400344848633,0.36449745297431946,0.21577607095241547,0.14181743562221527,0.7831782102584839,0.6958250403404236,0.8067938089370728,0.2758638262748718,0.21962274610996246,0.23669828474521637,0.5046283602714539,0.5595733523368835,0.6475395560264587,0.8641440272331238,0.8641440272331238,0.8641440272331238,0.5368738174438477,0.4229726493358612,0.2774553894996643,0.670892596244812,0.592922031879425,0.7771124243736267
