AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class3_moderate_fixed_0_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class3_moderate_fixed_0_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class3_moderate_fixed_0_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,CA_NearField_2_5_254_c235
0.936755228,0.0,0.529503204,0.0,0.323741668,0.0,0.78288983,0.0,0.290275542,0.0,0.788101747,0.0,0.883,0.0,0.663176819,0.0,0.862630603,0.0,0.677263848,0.0,0.414208946,0.0,0.649972677,0.0,0.864179611,0.0,0.962720573,0.962720573,0.962720573,0.282345384,0.0,0.790309608,0.0,0.344968617,0.0,0.451550931,0.0,0.805842817,0.0,0.834789634,0.0,0.790759683,0.790759683,0.790759683,0.5382846,0.0,0.760260224,0.0,0.983003676,0.983003676,0.983003676,0.420056611,0.0,1.02
0.937130977,0.0,0.652883918,0.0,0.284851602,0.0,0.832056388,0.0,0.311892289,0.0,0.831415792,0.0,0.909,0.0,0.560223266,0.0,0.929250386,0.0,0.651402268,0.0,0.430574086,0.0,0.658752084,0.0,0.860815167,0.0,0.982754588,0.982754588,0.982754588,0.276841134,0.0,0.795442939,0.0,0.345255315,0.0,0.473407865,0.0,0.796035767,0.0,0.813796222,0.0,0.868581355,0.868581355,0.868581355,0.549268901,0.0,0.758054972,0.0,0.983003676,0.983003676,0.983003676,0.408190042,0.0,1.01
0.910814531,0.0,0.831928166,0.0,0.247542694,0.0,0.820565553,0.0,0.331928133,0.0,0.746448691,0.0,0.941,0.0,0.451340024,0.0,0.913107419,0.0,0.54757792,0.0,0.41823201,0.0,0.660192609,0.0,0.864151537,0.0,0.978865445,0.978865445,0.978865445,0.268049955,0.0,0.813384771,0.0,0.337924004,0.0,0.466926396,0.0,0.788012147,0.0,0.792893469,0.0,0.837590814,0.837590814,0.837590814,0.568549156,0.0,0.750512123,0.0,0.983003676,0.983003676,0.983003676,0.397328705,0.0,1.0
0.827169858,0.0,0.847263045,0.0,0.165757385,0.0,0.828472969,0.0,0.307032651,0.0,0.82418332,0.0,0.895,0.0,0.237819388,0.0,0.91100747,0.0,0.42004987,0.0,0.413842839,0.0,0.640529156,0.0,0.862550497,0.0,0.957393289,0.957393289,0.957393289,0.257580578,0.0,0.810266554,0.0,0.339673072,0.0,0.464734256,0.0,0.764423668,0.0,0.771342754,0.0,0.781221092,0.781221092,0.781221092,0.580012858,0.0,0.74202019,0.0,0.983003676,0.983003676,0.983003676,0.379702091,0.0,0.99
0.753354836,0.0,0.892479463,0.0,0.137106092,0.0,0.787508421,0.0,0.333612771,0.0,0.870486731,0.0,0.983,0.0,0.189396443,0.0,0.937284132,0.0,0.312944166,0.0,0.419253442,0.0,0.635032892,0.0,0.856621861,0.0,0.975040555,0.975040555,0.975040555,0.244498685,0.0,0.765816092,0.0,0.33880344,0.0,0.462659299,0.0,0.736863852,0.0,0.762100697,0.0,0.801702857,0.801702857,0.801702857,0.586784899,0.0,0.744247437,0.0,0.983003676,0.983003676,0.983003676,0.354131848,0.0,0.99
0.803017477,0.0,0.921517058,0.0,0.112562962,0.0,0.707601284,0.0,0.319889518,0.0,0.890917731,0.0,0.968,0.0,0.352527243,0.0,0.970429933,0.0,0.294844721,0.0,0.287272117,0.0,0.624516666,0.0,0.857612312,0.0,0.97565186,0.97565186,0.97565186,0.234340206,0.0,0.734593272,0.0,0.330294997,0.0,0.47599107,0.0,0.677923977,0.0,0.765303969,0.0,0.902652264,0.902652264,0.902652264,0.579799235,0.0,0.736015141,0.0,0.948730648,0.948730648,0.948730648,0.325594246,0.0,1.0
0.841000687,0.0,0.91342307,0.0,0.094163036,0.0,0.626951149,0.0,0.327289157,0.0,0.889828184,0.0,0.983,0.0,0.348331056,0.0,0.936330757,0.0,0.35260721,0.0,0.253728006,0.0,0.606670558,0.0,0.858420968,0.0,0.973610103,0.973610103,0.973610103,0.225235835,0.0,0.715683997,0.0,0.325469822,0.0,0.491817474,0.0,0.653803587,0.0,0.768634677,0.0,0.918446481,0.918446481,0.918446481,0.567872703,0.0,0.733521581,0.0,0.970999956,0.970999956,0.970999956,0.303839922,0.0,1.01
0.48965783,0.0,0.921429661,0.0,0.07548935,0.0,0.557072671,0.0,0.331456627,0.0,0.7551726,0.0,0.959,0.0,0.295849079,0.0,0.806408295,0.0,0.420760511,0.0,0.182875826,0.0,0.580615759,0.0,0.878476977,0.0,0.979818642,0.979818642,0.979818642,0.219071165,0.0,0.700140655,0.0,0.32445389,0.0,0.486585766,0.0,0.639959753,0.0,0.773382008,0.0,0.923476279,0.923476279,0.923476279,0.562375247,0.0,0.730747223,0.0,0.941591442,0.941591442,0.941591442,0.293152243,0.0,1.02
0.500707904,0.0,0.715417211,0.0,0.062207237,0.0,0.433009212,0.0,0.299273253,0.0,0.753652795,0.0,0.937,0.0,0.302663342,0.0,0.855924781,0.0,0.505159767,0.0,0.2196811,0.0,0.56244278,0.0,0.88481909,0.0,0.982810616,0.982810616,0.982810616,0.213984072,0.0,0.68834424,0.0,0.321918875,0.0,0.488375038,0.0,0.633752406,0.0,0.780618072,0.0,0.960007489,0.960007489,0.960007489,0.561628699,0.0,0.717734694,0.0,0.90044117,0.90044117,0.90044117,0.294001371,0.0,1.03
0.711312027,0.003204647,0.902990479,0.0,0.071725272,0.040903165,0.406928538,0.0,0.280950723,0.0,0.760521199,0.041668668,0.837,0.0,0.435261122,0.0,0.760717414,0.000378904,0.528294319,0.0,0.288546032,0.0,0.528603792,0.002750939,0.885494947,0.0,0.980106235,0.980106235,0.980106235,0.22041367,0.015357016,0.678682566,0.0,0.312549233,0.0,0.518074453,0.008989406,0.627259135,2.92e-5,0.791018963,0.0,0.962625921,0.962625921,0.962625921,0.533882201,0.0,0.718862355,0.0,0.982139885,0.982139885,0.982139885,0.299888432,0.012934688,1.04
