AZ_conventional_hydroelectric_1,CA_conventional_hydroelectric_1,CO_conventional_hydroelectric_1,ID_conventional_hydroelectric_1,MT_conventional_hydroelectric_1,NV_conventional_hydroelectric_1,OR_conventional_hydroelectric_1,UT_conventional_hydroelectric_1,WA_conventional_hydroelectric_1,WY_conventional_hydroelectric_1
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
0.269631714,0.183776319,0.344362199,0.316389292,0.325166404,0.228971034,0.44638589,0.256263822,0.34322843,0.134724244
