AZ_small_hydroelectric_1,CA_small_hydroelectric_1,CO_small_hydroelectric_1,ID_small_hydroelectric_1,MT_small_hydroelectric_1,NM_small_hydroelectric_1,NV_small_hydroelectric_1,OR_small_hydroelectric_1,UT_small_hydroelectric_1,WA_small_hydroelectric_1,WY_small_hydroelectric_1
0.3075213730335235,0.341009110212326,0.2444134950637817,0.5618181824684143,0.5961240530014038,0.5020316243171692,0.3345265686511993,0.5656620264053345,0.3277422785758972,0.567425549030304,0.3479715585708618
0.307460606098175,0.3412715196609497,0.2443707436323166,0.5624294281005859,0.596513032913208,0.5022662281990051,0.3344295620918274,0.5657356381416321,0.328715831041336,0.5675023198127747,0.3477095365524292
0.3073998391628265,0.3415339291095733,0.2443280071020126,0.5630406141281128,0.5969021320343018,0.5025008320808411,0.334332525730133,0.5658093690872192,0.3296894431114197,0.5675789713859558,0.3474475145339966
0.307339072227478,0.341796338558197,0.2442852556705474,0.5636518001556396,0.5972911715507507,0.502735435962677,0.3342355191707611,0.5658829212188721,0.3306629955768585,0.5676556825637817,0.3471854627132416
0.3072782754898071,0.342058777809143,0.2442425191402435,0.5642630457878113,0.5976802110671997,0.5029700398445129,0.3341385424137115,0.5659565925598145,0.3316365480422973,0.5677323937416077,0.3469234406948089
0.3072175085544586,0.3423211872577667,0.2441997826099395,0.5648742318153381,0.5980693101882935,0.5032046437263489,0.3340415060520172,0.5660302042961121,0.3326101303100586,0.5678091049194336,0.3466614484786987
0.3071567416191101,0.3425835967063904,0.2441570311784744,0.5654854774475098,0.5984582901000977,0.5034392476081848,0.3339444994926452,0.5661038160324097,0.3335837125778198,0.5678858160972595,0.3463993966579437
0.3070959448814392,0.3428459763526916,0.2441142946481704,0.5660966634750366,0.5988473892211914,0.5036738514900208,0.3338474631309509,0.5661775469779968,0.334557294845581,0.5679625272750854,0.3461373746395111
0.3070351481437683,0.3431084156036377,0.2440715581178665,0.5667079091072083,0.5992364287376404,0.5039084553718567,0.3337504863739013,0.5662511587142944,0.3355308473110199,0.5680392384529114,0.3458753526210785
0.3069744110107422,0.3433708250522613,0.2440288215875625,0.5673190951347351,0.5996254682540894,0.5041430592536926,0.3336534798145294,0.5663248300552368,0.3365044295787811,0.5681158900260925,0.3456133008003235
0.3069136142730713,0.343633234500885,0.2439860850572586,0.5679303407669067,0.6000145077705383,0.5043776631355286,0.3335564434528351,0.5663983821868896,0.3374779820442199,0.5681926012039185,0.3453512787818908
0.3068528175354004,0.3438956439495086,0.2439433336257934,0.5685415267944336,0.6004035472869873,0.5046122670173645,0.3334594666957855,0.5664721131324768,0.3384515643119812,0.5682693123817444,0.3450892567634582
0.3067920804023742,0.3441580533981323,0.2439005970954895,0.5691527128219604,0.600792646408081,0.5048468708992004,0.3333624899387359,0.5665457248687744,0.3394251465797424,0.5683460235595703,0.3448272347450256
0.3067312836647033,0.3444204926490783,0.2438578456640243,0.5697639584541321,0.6011816263198853,0.5050814747810364,0.3332654535770416,0.566619336605072,0.3403987288475036,0.5684227347373962,0.3445651829242706
0.3066704869270324,0.344682902097702,0.2438151091337204,0.5703752040863037,0.601570725440979,0.5053160786628723,0.3331684470176697,0.5666930079460144,0.3413723111152649,0.5684993863105774,0.344303160905838
0.3066097199916839,0.3449453115463257,0.2437723577022552,0.5709863901138306,0.601959764957428,0.5055506825447083,0.3330714404582977,0.566766619682312,0.3423458933830261,0.5685760974884033,0.3440411686897278
0.3065489530563354,0.3452076911926269,0.2437296211719513,0.5715975761413574,0.602348804473877,0.5057852864265442,0.3329744338989258,0.5668402910232544,0.3433194756507873,0.5686528086662292,0.3437791168689728
0.3064881563186645,0.345470130443573,0.2436868846416473,0.572208821773529,0.6027378439903259,0.5060198903083801,0.3328774273395538,0.5669139623641968,0.3442930281162262,0.5687295198440552,0.3435170948505401
0.3064274191856384,0.3457325398921966,0.2436441481113433,0.5728200078010559,0.6031268835067749,0.5062544941902161,0.3327804207801819,0.5669875741004944,0.3452666103839874,0.5688062310218811,0.3432550728321075
0.3063666224479675,0.3459949493408203,0.2436014115810394,0.5734312534332275,0.6035159826278687,0.506489098072052,0.3326833844184875,0.5670612454414368,0.3462401628494262,0.568882942199707,0.3429930210113525
0.3063058257102966,0.3462573885917663,0.2435586750507354,0.5740424394607544,0.6039050221443176,0.5067236423492432,0.3325863778591156,0.5671348571777344,0.3472137451171875,0.5689595937728882,0.3427309989929199
0.3062450885772705,0.3465197682380676,0.2435159236192703,0.574653685092926,0.6042940616607666,0.5069582462310791,0.332489401102066,0.5672085285186768,0.3481873273849487,0.5690363645553589,0.3424689769744873
0.3061842918395996,0.3467821776866913,0.2434731721878051,0.5752648711204529,0.6046831607818604,0.507192850112915,0.3323923647403717,0.5672821402549744,0.3491609096527099,0.56911301612854,0.3422069549560547
0.3061234951019287,0.3470446169376373,0.2434304356575012,0.5758760571479797,0.6050721406936646,0.507427453994751,0.3322953581809997,0.5673558115959167,0.3501344621181488,0.569189727306366,0.3419449031352997
0.3060627579689026,0.347307026386261,0.2433876991271972,0.5764873027801514,0.6054612398147583,0.5076620578765869,0.3321983218193054,0.5674294233322144,0.35110804438591,0.5692664384841919,0.341682881116867
0.3060019612312317,0.3475694358348846,0.2433449476957321,0.577098548412323,0.6058502197265625,0.5078966617584229,0.3321013450622558,0.5675030946731567,0.3520816266536712,0.5693431496620178,0.3414208889007568
0.3059411644935608,0.3478318452835083,0.2433022111654281,0.5777097344398499,0.6062392592430115,0.5081312656402588,0.3320043385028839,0.5675767064094543,0.3530552089214325,0.569419801235199,0.3411588370800018
0.3058803975582123,0.3480942547321319,0.2432594746351242,0.5783209204673767,0.6066283583641052,0.5083658695220947,0.3319073021411896,0.5676504373550415,0.3540287613868713,0.5694965124130249,0.3408967852592468
0.3058196306228637,0.348356693983078,0.243216723203659,0.5789321660995483,0.6070173978805542,0.5086004734039307,0.33181032538414,0.5677239894866943,0.3550023436546325,0.5695732235908508,0.3406347930431366
0.3057588338851928,0.3486190736293793,0.2431739866733551,0.57954341173172,0.6074064373970032,0.5088350772857666,0.3317133486270904,0.5677977204322815,0.3559759259223938,0.5696499347686768,0.3403727412223816
0.3056980967521667,0.3488814830780029,0.2431312352418899,0.580154538154602,0.6077954769134521,0.5090696811676025,0.3316163122653961,0.5678712725639343,0.3569494783878326,0.5697266459465027,0.340110719203949
0.3056373000144958,0.3491438925266266,0.2430885136127472,0.5807657837867737,0.6081845760345459,0.5093042850494385,0.3315193057060241,0.5679450035095215,0.3579230606555938,0.5698033571243286,0.3398486971855163
0.3055765330791473,0.3494063019752502,0.2430457770824432,0.5813770294189453,0.6085735559463501,0.5095388889312744,0.3314222991466522,0.5680186152458191,0.3588966429233551,0.5698800683021545,0.3395866751670837
0.3055157661437988,0.3496687412261963,0.2430030107498169,0.5819882154464722,0.6089626550674438,0.5097734928131104,0.3313252925872803,0.5680922269821167,0.3598701953887939,0.5699567794799805,0.3393246233463287
0.3054549694061279,0.3499311506748199,0.2429602891206741,0.582599401473999,0.609351634979248,0.5100080966949463,0.3312282860279083,0.5681658983230591,0.3608437776565552,0.5700334310531616,0.3390626013278961
0.305394172668457,0.3501935601234436,0.2429175376892089,0.5832106471061707,0.6097407341003418,0.5102427005767822,0.3311312794685364,0.5682394504547119,0.3618173599243164,0.5701101422309875,0.3388006091117859
0.3053334057331085,0.3504559993743896,0.242874801158905,0.5838218927383423,0.6101297736167908,0.5104773044586182,0.331034243106842,0.5683131814002991,0.3627909421920776,0.5701868534088135,0.3385385870933532
0.30527263879776,0.3507184088230133,0.242832064628601,0.5844330787658691,0.6105188727378845,0.5107119083404541,0.3309372663497925,0.5683867931365967,0.3637645244598388,0.5702635049819946,0.3382765054702759
0.3052118420600891,0.3509807884693146,0.2427893131971359,0.585044264793396,0.6109079122543335,0.51094651222229,0.3308402597904205,0.5684604644775391,0.3647381067276001,0.5703402161598206,0.3380145132541656
0.3051510751247406,0.3512431979179382,0.2427465766668319,0.5856554508209229,0.6112968921661377,0.511181116104126,0.3307432234287262,0.5685340762138367,0.3657116591930389,0.5704169273376465,0.3377524614334106
0.3050903081893921,0.3515056371688843,0.2427038252353668,0.5862667560577393,0.6116859912872314,0.5114157199859619,0.3306462168693542,0.568607747554779,0.3666852414608001,0.5704936385154724,0.337490439414978
0.3050295114517212,0.3517680466175079,0.2426610887050628,0.5868779420852661,0.6120750308036804,0.5116503238677979,0.3305492103099823,0.5686813592910767,0.367658793926239,0.5705703496932983,0.3372284173965454
0.3049687445163727,0.3520304262638092,0.2426183521747589,0.587489128112793,0.6124640703201294,0.5118849277496338,0.3304522037506103,0.568755030632019,0.3686323761940002,0.5706470608711243,0.3369663953781128
0.3049079775810241,0.3522928655147552,0.2425756156444549,0.5881003141403198,0.6128531694412231,0.5121195316314697,0.3303551971912384,0.5688286423683167,0.3696059584617615,0.5707237720489502,0.3367043435573578
0.3048471808433532,0.3525552749633789,0.242532879114151,0.5887115597724915,0.6132421493530273,0.5123540759086609,0.330258160829544,0.568902313709259,0.3705795109272003,0.5708004236221313,0.3364423513412475
